"reproductive_rate","natural_distance_scale","percent_natural_dispersal","anthropogenic_distance_scale","natural_kappa","anthropogenic_kappa","accuracy","precision","recall","specificity","rmse","distance_difference","mcc","quantity_disagreement","allocation_disagreement","configuration_disagreement"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.41871291663295,152.800100964977,0.924290966171462,5240.52137939184,0,0,0.988461538461539,1,0.502777777777778,1,3.67597768078334,0,0.652968258572587,3,0,0
5.85639770800673,65.7109034020334,0.922397901230157,5049.81655588432,0,0,0.987820512820513,0.916666666666667,0.502777777777778,0.999333333333333,3.59267103514551,0,0.636405480992179,2.83333333333333,0.333333333333333,0
5.47891923448633,202.368624944367,0.917458095448763,5358.82909476788,0,0,0.972435897435897,0.486185383244207,0.580555555555556,0.980880623524894,2.74065823118027,0,0.514091521421466,2.5,4.66666666666667,0
8.20915940328435,57.2714000624643,0.895187341083312,6127.68594090649,0,0,0.991025641025641,0.944444444444445,0.622222222222222,0.999343832020997,2.86244342817376,0,0.749701832202329,2,0.333333333333333,0
5.63313724721541,3.75517218609011,0.895266057776533,4418.47177581813,0,0,0.981410256410256,0.488425925925926,0.783333333333333,0.986150747319278,2.36188566581638,0,0.605527169006941,2.16666666666667,2.66666666666667,0
5.43080213263509,300.631734395363,0.930849660768427,6328.1433751959,0,0,0.98974358974359,0.886904761904762,0.65,0.997343832020997,2.94289614258866,0,0.746044137563869,1.33333333333333,1.33333333333333,0
3.96366904350181,57.9926533057345,0.92684813984984,3725.68924923688,0,0,0.988461538461539,0.944444444444445,0.519444444444444,0.999333333333333,3.53845033673986,0,0.660010507901179,2.66666666666667,0.333333333333333,0
5.75831283709932,196.855032126517,0.92228645692431,5709.2509720759,0,0,0.982051282051282,0.568650793650794,0.872222222222222,0.98416420367144,2.9646668045828,0,0.689362299003236,3.33333333333333,1.33333333333333,0
5.27481766267054,7.42478667922859,0.898331489060467,5040.54656466177,0,0,0.989102564102564,0.69375,0.9,0.990763077440489,11.9224640057353,0,0.777367027499426,1.83333333333333,1,0
3.68178330584438,258.346339283522,0.934647872532642,5339.65658890688,0,0,0.989102564102564,1,0.519444444444444,1,3.60350310873696,0,0.674558353599623,2.83333333333333,0,0
